
time;gFx;gFy;gFz;Azimuth;Pitch;Roll;Gain;
9,9820;0,9043;-0,2491;-0,2794;-58,744;14,744;-107,167;99,9379;
10,0210;0,9043;-0,2491;-0,2794;-58,744;14,744;-107,167;100,0005;
10,1140;0,9043;-0,2491;-0,2794;-58,031;14,744;-107,167;100,0005;
10,1420;0,8877;-0,2432;-0,2828;-58,218;14,631;-107,670;100,0005;
10,2210;0,8877;-0,2432;-0,2828;-58,218;14,631;-107,670;100,0005;
10,3030;0,8999;-0,2476;-0,2886;-58,385;14,681;-107,784;100,1325;
10,3140;0,8999;-0,2476;-0,2886;-58,124;14,681;-107,784;100,1325;
10,4210;0,8999;-0,2476;-0,2886;-58,124;14,681;-107,784;100,1325;
10,4650;0,8965;-0,2456;-0,2676;-57,294;14,712;-106,623;100,1325;
10,5140;0,8965;-0,2456;-0,2676;-57,167;14,712;-106,623;100,1325;
10,6210;0,8965;-0,2456;-0,2676;-57,167;14,712;-106,623;99,2777;
10,6250;0,8989;-0,2554;-0,2784;-58,405;15,186;-107,207;99,2777;
10,7140;0,8989;-0,2554;-0,2784;-58,431;15,186;-107,207;99,2777;
10,7860;0,8975;-0,2588;-0,2916;-59,231;15,339;-107,999;99,2777;
10,8210;0,8975;-0,2588;-0,2916;-59,231;15,339;-107,999;99,2777;
10,9140;0,8975;-0,2588;-0,2916;-59,419;15,339;-107,999;100,0747;
10,9470;0,9146;-0,2623;-0,2681;-58,353;15,386;-106,340;100,0747;
11,0210;0,9146;-0,2623;-0,2681;-58,353;15,386;-106,340;100,0747;
11,1080;0,9053;-0,2456;-0,3028;-58,326;14,431;-108,495;100,0747;
11,1130;0,9053;-0,2456;-0,3028;-58,420;14,431;-108,495;100,0747;
11,2200;0,9053;-0,2456;-0,3028;-58,420;14,431;-108,495;99,5348;
11,2690;0,9019;-0,2652;-0,2662;-59,144;15,750;-106,443;99,5348;
11,3140;0,9019;-0,2652;-0,2662;-59,244;15,750;-106,443;99,5348;
11,4210;0,9019;-0,2652;-0,2662;-59,244;15,750;-106,443;99,5348;
11,4300;0,9014;-0,2544;-0,2813;-58,755;15,081;-107,333;99,5348;
11,5140;0,9014;-0,2544;-0,2813;-58,852;15,081;-107,333;98,7098;
